
Dos 934 pacotes recebidos:
Pacote #603 <0> OK
Pacote #604 <0> OK
Pacote #605 <0> OK
Pacote #606 <0> OK
Pacote #607 <0> OK
Pacote #608 <0> OK
Pacote #609 <0> OK
Pacote #610 <0> OK
Pacote #611 <0> OK
Pacote #612 <0> OK
Pacote #613 <0> OK
Pacote #614 <0> OK
Pacote #615 <0> OK
Pacote #616 <0> OK
Pacote #617 <0> OK
Pacote #618 <0> OK
Pacote #619 <0> OK
Pacote #620 <0> OK
Pacote #621 <0> OK
Pacote #622 <0> OK
Pacote #623 <0> OK
Pacote #624 <0> OK
Pacote #625 <0> OK
Pacote #626 <0> OK
Pacote #627 <0> OK
Pacote #628 <0> OK
Pacote #629 <0> OK
Pacote #630 <0> OK
Pacote #631 <0> OK
Pacote #632 <0> OK
Pacote #633 <0> OK
Pacote #634 <0> OK
Pacote #635 <0> OK
Pacote #636 <0> OK
Pacote #637 <0> OK
Pacote #638 <0> OK
Pacote #639 <0> OK
Pacote #640 <0> OK
Pacote #641 <0> OK
Pacote #642 <0> OK
Pacote #643 <0> OK
Pacote #644 <0> OK
Pacote #645 <0> OK
Pacote #646 <0> OK
Pacote #647 <0> OK
Pacote #648 <0> OK
Pacote #649 <2> Perdido
Pacote #650 <2> Perdido
Pacote #651 <2> Perdido
Pacote #652 <2> Perdido
Pacote #653 <2> Perdido
Pacote #654 <2> Perdido
Pacote #655 <2> Perdido
Pacote #656 <2> Perdido
Pacote #657 <2> Perdido
Pacote #658 <2> Perdido
Pacote #659 <2> Perdido
Pacote #660 <2> Perdido
Pacote #661 <2> Perdido
Pacote #662 <2> Perdido
Pacote #663 <2> Perdido
Pacote #664 <2> Perdido
Pacote #665 <2> Perdido
Pacote #666 <2> Perdido
Pacote #667 <2> Perdido
Pacote #668 <2> Perdido
Pacote #669 <2> Perdido
Pacote #670 <2> Perdido
Pacote #671 <2> Perdido
Pacote #672 <2> Perdido
Pacote #673 <2> Perdido
Pacote #674 <2> Perdido
Pacote #675 <2> Perdido
Pacote #676 <2> Perdido
Pacote #677 <2> Perdido
Pacote #678 <2> Perdido
Pacote #679 <2> Perdido
Pacote #680 <2> Perdido
Pacote #681 <2> Perdido
Pacote #682 <2> Perdido
Pacote #683 <2> Perdido
Pacote #684 <2> Perdido
Pacote #685 <2> Perdido
Pacote #686 <2> Perdido
Pacote #687 <2> Perdido
Pacote #688 <2> Perdido
Pacote #689 <2> Perdido
Pacote #690 <2> Perdido
Pacote #691 <2> Perdido
Pacote #692 <2> Perdido
Pacote #693 <2> Perdido
Pacote #694 <2> Perdido
Pacote #695 <2> Perdido
Pacote #696 <2> Perdido
Pacote #697 <2> Perdido
Pacote #698 <2> Perdido
Pacote #699 <2> Perdido
Pacote #700 <2> Perdido
Pacote #701 <2> Perdido
Pacote #702 <2> Perdido
Pacote #703 <2> Perdido
Pacote #704 <2> Perdido
Pacote #705 <2> Perdido
Pacote #706 <2> Perdido
Pacote #707 <2> Perdido
Pacote #708 <2> Perdido
Pacote #709 <2> Perdido
Pacote #710 <2> Perdido
Pacote #711 <2> Perdido
Pacote #712 <3> Fora de ordem adiantado: pulou [82] pacotes
Pacote #713 <0> OK
Pacote #714 <0> OK
Pacote #715 <0> OK
Pacote #716 <0> OK
Pacote #717 <0> OK
Pacote #718 <0> OK
Pacote #719 <0> OK
Pacote #720 <3> Fora de ordem adiantado: pulou [74] pacotes
Pacote #721 <0> OK
Pacote #722 <0> OK
Pacote #723 <0> OK
Pacote #724 <0> OK
Pacote #725 <0> OK
Pacote #726 <0> OK
Pacote #727 <0> OK
Pacote #728 <0> OK
Pacote #729 <0> OK
Pacote #730 <0> OK
Pacote #731 <0> OK
Pacote #732 <0> OK
Pacote #733 <0> OK
Pacote #734 <0> OK
Pacote #735 <0> OK
Pacote #736 <0> OK
Pacote #737 <0> OK
Pacote #738 <0> OK
Pacote #739 <0> OK
Pacote #740 <0> OK
Pacote #741 <0> OK
Pacote #742 <0> OK
Pacote #743 <0> OK
Pacote #744 <0> OK
Pacote #745 <0> OK
Pacote #746 <0> OK
Pacote #747 <0> OK
Pacote #748 <0> OK
Pacote #749 <0> OK
Pacote #750 <0> OK
Pacote #751 <0> OK
Pacote #752 <0> OK
Pacote #753 <0> OK
Pacote #754 <0> OK
Pacote #755 <0> OK
Pacote #756 <0> OK
Pacote #757 <0> OK
Pacote #758 <0> OK
Pacote #759 <0> OK
Pacote #760 <0> OK
Pacote #761 <0> OK
Pacote #762 <0> OK
Pacote #763 <0> OK
Pacote #764 <0> OK
Pacote #765 <0> OK
Pacote #766 <0> OK
Pacote #767 <0> OK
Pacote #768 <0> OK
Pacote #769 <0> OK
Pacote #770 <0> OK
Pacote #771 <0> OK
Pacote #772 <0> OK
Pacote #773 <0> OK
Pacote #774 <0> OK
Pacote #775 <0> OK
